From,To,Length(m),Azimuth(deg),Clino(deg)
133@byaki_09.byaki,-,4.24,244.40,-5.70
133@byaki_09.byaki,-,3.74,244.00,-9.40
133@byaki_09.byaki,134@byaki_09.byaki,1.86,243.90,23.90
134@byaki_09.byaki,-,3.94,240.00,12.30
134@byaki_09.byaki,-,4.05,238.90,16.40
134@byaki_09.byaki,-,4.22,237.70,24.00
134@byaki_09.byaki,-,4.47,238.00,29.00
134@byaki_09.byaki,-,4.60,238.00,31.40
134@byaki_09.byaki,-,2.24,238.50,34.70
134@byaki_09.byaki,-,2.04,239.20,38.20
134@byaki_09.byaki,-,2.19,240.30,41.40
134@byaki_09.byaki,-,3.64,241.00,44.30
134@byaki_09.byaki,-,3.47,242.40,49.00
134@byaki_09.byaki,-,2.88,247.50,64.40
134@byaki_09.byaki,-,2.89,250.10,71.60
134@byaki_09.byaki,-,3.55,295.00,82.80
134@byaki_09.byaki,-,3.95,347.80,80.80
134@byaki_09.byaki,-,4.58,2.70,77.40
134@byaki_09.byaki,-,4.30,14.40,75.20
134@byaki_09.byaki,-,4.57,352.50,80.10
134@byaki_09.byaki,-,4.63,7.70,76.60
134@byaki_09.byaki,-,4.33,13.80,75.00
134@byaki_09.byaki,-,4.38,17.00,72.80
134@byaki_09.byaki,-,3.03,30.60,67.80
134@byaki_09.byaki,-,2.93,38.40,62.70
134@byaki_09.byaki,-,2.33,44.00,55.60
134@byaki_09.byaki,-,2.33,45.40,43.30
134@byaki_09.byaki,-,1.83,48.60,33.50
134@byaki_09.byaki,-,0.32,46.50,17.70
130@byaki_09.byaki,135@byaki_09.byaki,2.76,245.00,29.40
135@byaki_09.byaki,-,3.54,70.10,41.80
135@byaki_09.byaki,-,4.03,71.90,51.00
135@byaki_09.byaki,-,2.79,73.20,56.80
135@byaki_09.byaki,-,2.88,69.40,69.70
135@byaki_09.byaki,-,3.11,73.40,42.70
135@byaki_09.byaki,-,2.73,80.20,77.90
135@byaki_09.byaki,-,2.62,129.60,87.00
135@byaki_09.byaki,-,2.73,189.30,86.10
135@byaki_09.byaki,-,3.04,212.70,82.00
135@byaki_09.byaki,-,3.29,228.80,76.80
135@byaki_09.byaki,-,3.35,232.30,74.10
135@byaki_09.byaki,-,2.70,244.20,67.10
135@byaki_09.byaki,136@byaki_09.byaki,1.83,252.30,11.40
136@byaki_09.byaki,-,2.98,84.00,65.50
136@byaki_09.byaki,-,1.83,88.70,74.00
136@byaki_09.byaki,-,1.76,101.10,81.90
136@byaki_09.byaki,-,0.90,199.30,76.10
136@byaki_09.byaki,-,3.46,234.70,58.60
136@byaki_09.byaki,-,3.31,238.90,42.30
136@byaki_09.byaki,-,2.40,241.80,35.70
136@byaki_09.byaki,-,3.34,143.00,78.90
136@byaki_09.byaki,-,2.96,82.50,65.80
136@byaki_09.byaki,137@byaki_09.byaki,0.85,243.60,-8.50
137@byaki_09.byaki,-,6.16,66.80,23.80
137@byaki_09.byaki,-,5.75,68.10,14.60
137@byaki_09.byaki,-,4.76,68.90,8.30
137@byaki_09.byaki,-,5.99,68.80,22.40
137@byaki_09.byaki,-,4.37,67.50,30.70
137@byaki_09.byaki,-,2.97,66.70,40.00
137@byaki_09.byaki,-,4.93,69.50,47.10
137@byaki_09.byaki,-,5.21,70.10,48.30
137@byaki_09.byaki,-,4.64,78.60,60.00
137@byaki_09.byaki,-,4.64,80.00,62.40
137@byaki_09.byaki,-,4.85,88.00,69.90
137@byaki_09.byaki,-,2.99,99.30,75.00
137@byaki_09.byaki,-,2.86,114.50,82.60
137@byaki_09.byaki,-,2.84,198.20,86.10
137@byaki_09.byaki,-,2.85,244.10,81.90
137@byaki_09.byaki,-,4.00,240.60,70.50
137@byaki_09.byaki,-,3.24,237.90,65.00
137@byaki_09.byaki,-,1.80,239.30,58.10
137@byaki_09.byaki,-,3.49,229.20,31.00
137@byaki_09.byaki,-,3.56,229.90,35.10
137@byaki_09.byaki,-,3.62,231.50,30.30
137@byaki_09.byaki,-,2.63,231.40,23.30
137@byaki_09.byaki,-,2.45,231.50,17.80
137@byaki_09.byaki,-,0.35,234.00,6.10
137@byaki_09.byaki,-,0.36,236.90,-5.70
137@byaki_09.byaki,-,0.31,236.60,-10.40
137@byaki_09.byaki,138@byaki_09.byaki,2.17,240.10,-32.40
138@byaki_09.byaki,-,4.38,63.80,41.60
138@byaki_09.byaki,-,3.58,62.80,48.00
138@byaki_09.byaki,-,3.27,60.40,56.80
138@byaki_09.byaki,-,3.33,71.90,71.00
138@byaki_09.byaki,-,2.89,101.70,76.50
138@byaki_09.byaki,-,2.71,144.80,78.40
138@byaki_09.byaki,-,1.16,174.40,75.30
138@byaki_09.byaki,-,1.13,183.60,69.30
138@byaki_09.byaki,-,1.19,185.60,47.80
138@byaki_09.byaki,-,1.45,189.90,39.70
138@byaki_09.byaki,139@byaki_09.byaki,1.10,179.00,8.50
139@byaki_09.byaki,-,0.86,260.90,69.40
139@byaki_09.byaki,-,4.15,266.10,73.70
139@byaki_09.byaki,-,3.96,263.70,71.40
139@byaki_09.byaki,-,3.63,250.70,28.30
139@byaki_09.byaki,-,3.42,252.90,36.40
139@byaki_09.byaki,-,2.77,252.40,43.10
139@byaki_09.byaki,-,3.67,255.60,50.20
139@byaki_09.byaki,140@byaki_09.byaki,2.64,10.70,-24.90
140@byaki_09.byaki,530@byaki_09.byaki,1.99,218.40,17.80
140@byaki_09.byaki,141@byaki_09.byaki,3.00,200.60,26.90
141@byaki_09.byaki,-,3.05,256.00,21.40
141@byaki_09.byaki,-,2.70,261.20,38.00
141@byaki_09.byaki,-,2.81,265.30,46.50
141@byaki_09.byaki,-,1.01,281.70,53.60
141@byaki_09.byaki,-,3.79,266.40,70.10
141@byaki_09.byaki,-,3.65,262.20,65.00
141@byaki_09.byaki,-,3.25,255.60,24.90
141@byaki_09.byaki,-,3.15,255.50,32.40
141@byaki_09.byaki,142@byaki_09.byaki,2.05,258.10,12.50
142@byaki_09.byaki,-,2.13,241.40,65.90
142@byaki_09.byaki,-,3.79,228.10,80.10
142@byaki_09.byaki,-,3.39,48.10,87.30
142@byaki_09.byaki,-,2.82,34.10,78.90
142@byaki_09.byaki,-,3.18,47.50,73.70
142@byaki_09.byaki,-,3.49,227.80,79.60
142@byaki_09.byaki,-,1.34,251.90,53.50
142@byaki_09.byaki,-,1.06,260.80,35.50
142@byaki_09.byaki,-,1.72,259.40,-2.80
142@byaki_09.byaki,-,2.19,253.30,-6.30
142@byaki_09.byaki,-,2.85,249.80,-6.70
142@byaki_09.byaki,-,2.28,242.50,-10.90
142@byaki_09.byaki,-,2.02,236.50,-9.80
142@byaki_09.byaki,-,1.80,229.50,-14.40
142@byaki_09.byaki,-,5.00,238.00,-7.50
142@byaki_09.byaki,-,5.47,241.30,-7.20
142@byaki_09.byaki,-,5.43,244.20,-7.00
142@byaki_09.byaki,-,5.57,245.80,-6.90
142@byaki_09.byaki,-,4.90,236.90,-6.00
142@byaki_09.byaki,-,2.09,231.30,-8.10
142@byaki_09.byaki,-,6.43,247.70,-16.30
142@byaki_09.byaki,-,4.33,249.20,-20.70
142@byaki_09.byaki,-,4.28,250.20,-22.60
142@byaki_09.byaki,-,4.21,249.30,-24.70
142@byaki_09.byaki,-,1.87,216.60,-74.80
142@byaki_09.byaki,-,1.93,231.70,-66.10
142@byaki_09.byaki,-,1.97,232.70,-61.10
142@byaki_09.byaki,143@byaki_09.byaki,5.02,238.10,-7.60
143@byaki_09.byaki,-,5.49,59.20,10.20
143@byaki_09.byaki,-,6.64,60.90,11.40
143@byaki_09.byaki,-,4.79,62.50,11.30
143@byaki_09.byaki,-,4.58,66.80,11.00
143@byaki_09.byaki,-,3.04,71.30,11.00
143@byaki_09.byaki,-,3.48,81.30,10.60
143@byaki_09.byaki,-,2.40,86.80,11.80
143@byaki_09.byaki,-,1.83,91.50,11.10
143@byaki_09.byaki,-,1.20,105.00,8.40
143@byaki_09.byaki,-,1.02,111.70,7.70
143@byaki_09.byaki,-,2.29,54.00,10.20
143@byaki_09.byaki,-,1.39,49.80,11.60
143@byaki_09.byaki,-,1.25,32.10,11.60
143@byaki_09.byaki,-,1.15,14.50,11.70
143@byaki_09.byaki,-,1.22,351.40,3.40
143@byaki_09.byaki,-,1.02,327.40,5.60
143@byaki_09.byaki,-,1.05,312.80,8.30
143@byaki_09.byaki,144@byaki_09.byaki,3.26,352.70,-21.30
144@byaki_09.byaki,-,3.02,179.60,19.20
144@byaki_09.byaki,-,3.20,177.30,18.70
144@byaki_09.byaki,-,3.45,171.10,17.20
144@byaki_09.byaki,-,3.74,162.60,17.40
144@byaki_09.byaki,-,3.75,156.60,17.40
144@byaki_09.byaki,-,2.56,151.50,16.80
144@byaki_09.byaki,-,2.91,140.50,17.60
144@byaki_09.byaki,-,3.07,133.30,17.00
144@byaki_09.byaki,-,3.10,127.60,15.40
144@byaki_09.byaki,-,3.22,120.70,13.00
144@byaki_09.byaki,-,3.32,117.30,13.60
144@byaki_09.byaki,-,4.18,114.00,12.30
144@byaki_09.byaki,-,4.11,109.40,11.00
144@byaki_09.byaki,-,3.60,102.30,11.00
144@byaki_09.byaki,-,3.30,95.20,11.70
144@byaki_09.byaki,-,3.27,91.30,10.00
144@byaki_09.byaki,-,2.99,85.60,9.40
144@byaki_09.byaki,-,2.55,77.70,11.00
144@byaki_09.byaki,-,2.43,66.50,11.70
144@byaki_09.byaki,-,2.88,52.30,12.60
144@byaki_09.byaki,-,2.90,52.10,10.50
144@byaki_09.byaki,-,1.76,26.20,24.40
144@byaki_09.byaki,-,1.54,16.90,30.90
144@byaki_09.byaki,-,1.31,5.70,32.30
144@byaki_09.byaki,-,1.44,353.20,31.20
144@byaki_09.byaki,-,1.56,342.00,27.50
144@byaki_09.byaki,-,1.71,331.50,24.90
144@byaki_09.byaki,-,4.23,326.00,10.40
144@byaki_09.byaki,-,4.85,322.60,8.60
144@byaki_09.byaki,-,4.72,317.70,9.10
144@byaki_09.byaki,-,4.79,314.80,8.90
144@byaki_09.byaki,-,7.05,300.90,4.90
144@byaki_09.byaki,-,6.73,297.00,4.80
144@byaki_09.byaki,-,6.18,292.20,5.20
144@byaki_09.byaki,-,5.31,285.10,8.20
144@byaki_09.byaki,-,4.41,274.80,13.10
144@byaki_09.byaki,-,4.11,269.30,13.80
144@byaki_09.byaki,-,3.82,263.90,13.30
144@byaki_09.byaki,-,3.13,240.70,15.80
144@byaki_09.byaki,-,2.73,232.10,17.70
144@byaki_09.byaki,-,2.63,222.10,18.90
144@byaki_09.byaki,-,2.70,207.20,17.70
144@byaki_09.byaki,-,2.13,195.20,16.90
144@byaki_09.byaki,-,3.04,192.00,17.40
144@byaki_09.byaki,-,2.99,183.00,16.90
144@byaki_09.byaki,-,3.25,176.70,17.00
144@byaki_09.byaki,-,3.47,169.40,17.00
144@byaki_09.byaki,531@byaki_09.byaki,1.59,343.60,30.10
531@byaki_09.byaki,-,5.78,286.30,1.00
531@byaki_09.byaki,-,5.75,275.40,1.10
531@byaki_09.byaki,-,4.38,269.20,0.60
531@byaki_09.byaki,-,4.03,263.00,-0.40
531@byaki_09.byaki,-,3.42,256.60,-1.50
531@byaki_09.byaki,-,3.35,249.30,-2.60
531@byaki_09.byaki,-,3.58,242.40,-3.80
531@byaki_09.byaki,-,4.17,238.00,-4.20
531@byaki_09.byaki,-,3.55,220.60,-2.30
531@byaki_09.byaki,-,3.38,213.30,-1.50
531@byaki_09.byaki,-,3.25,205.20,-1.20
531@byaki_09.byaki,-,4.19,196.70,-1.70
531@byaki_09.byaki,-,4.11,188.90,-1.20
531@byaki_09.byaki,-,4.12,185.20,-0.80
531@byaki_09.byaki,-,4.12,179.20,-0.80
531@byaki_09.byaki,-,4.66,173.20,0.20
531@byaki_09.byaki,-,3.81,160.90,-0.20
531@byaki_09.byaki,-,4.01,152.30,1.40
531@byaki_09.byaki,-,4.16,143.70,2.40
531@byaki_09.byaki,-,4.15,145.40,0.20
531@byaki_09.byaki,-,4.20,138.60,1.10
531@byaki_09.byaki,-,4.36,131.00,-1.40
531@byaki_09.byaki,-,4.66,121.50,-2.40
531@byaki_09.byaki,-,4.09,116.40,-3.40
531@byaki_09.byaki,-,4.03,113.20,-3.20
144@byaki_09.byaki,145@byaki_09.byaki,6.58,39.90,3.90
145@byaki_09.byaki,-,2.72,297.60,3.70
145@byaki_09.byaki,-,0.87,305.50,4.00
145@byaki_09.byaki,-,3.45,293.00,3.50
145@byaki_09.byaki,-,4.11,286.70,2.60
145@byaki_09.byaki,-,4.38,284.20,0.60
145@byaki_09.byaki,-,4.96,279.70,0.00
145@byaki_09.byaki,-,5.10,276.80,0.80
145@byaki_09.byaki,-,4.80,273.50,1.10
145@byaki_09.byaki,-,4.71,267.10,1.10
145@byaki_09.byaki,-,4.66,262.90,1.00
145@byaki_09.byaki,-,4.74,259.90,1.20
145@byaki_09.byaki,-,4.45,258.70,1.30
145@byaki_09.byaki,-,3.88,255.60,0.00
145@byaki_09.byaki,-,3.74,251.50,2.50
145@byaki_09.byaki,-,3.69,246.40,4.00
145@byaki_09.byaki,-,3.88,242.70,3.90
145@byaki_09.byaki,-,4.11,236.70,5.10
145@byaki_09.byaki,-,4.23,232.60,4.40
145@byaki_09.byaki,-,3.53,216.50,3.80
145@byaki_09.byaki,-,3.19,213.00,4.10
145@byaki_09.byaki,-,2.57,208.20,3.40
145@byaki_09.byaki,-,2.60,198.30,3.80
145@byaki_09.byaki,-,2.91,188.30,5.40
145@byaki_09.byaki,-,3.20,180.90,4.60
145@byaki_09.byaki,-,3.43,174.50,4.00
145@byaki_09.byaki,-,3.29,170.40,4.40
145@byaki_09.byaki,-,3.32,163.70,4.70
145@byaki_09.byaki,-,3.30,156.90,4.70
145@byaki_09.byaki,-,3.51,150.40,3.30
145@byaki_09.byaki,-,3.90,147.30,0.10
145@byaki_09.byaki,-,7.42,145.80,1.30
145@byaki_09.byaki,-,6.66,134.70,-0.70
145@byaki_09.byaki,-,6.64,131.40,0.60
145@byaki_09.byaki,-,3.62,122.80,-5.90
145@byaki_09.byaki,-,3.61,114.10,-0.50
145@byaki_09.byaki,-,3.39,108.20,-0.30
145@byaki_09.byaki,-,3.27,99.50,1.80
145@byaki_09.byaki,-,3.34,107.30,-2.10
145@byaki_09.byaki,-,3.21,102.70,-4.90
145@byaki_09.byaki,-,3.28,93.80,2.00
145@byaki_09.byaki,-,3.45,87.30,4.60
145@byaki_09.byaki,-,3.49,81.70,4.30
145@byaki_09.byaki,-,3.23,77.20,4.00
145@byaki_09.byaki,-,3.06,71.80,3.80
145@byaki_09.byaki,-,3.12,67.90,-0.40
145@byaki_09.byaki,-,3.06,62.80,1.40
145@byaki_09.byaki,-,3.11,56.90,0.60
145@byaki_09.byaki,-,3.29,52.40,2.90
145@byaki_09.byaki,-,3.57,48.10,2.70
145@byaki_09.byaki,-,3.81,43.80,2.30
145@byaki_09.byaki,-,4.70,38.90,1.90
145@byaki_09.byaki,-,5.38,32.50,2.00
145@byaki_09.byaki,-,5.49,28.20,2.00
145@byaki_09.byaki,146@byaki_09.byaki,3.71,43.60,4.70
146@byaki_09.byaki,-,1.12,17.60,-0.20
146@byaki_09.byaki,-,2.09,356.60,1.00
146@byaki_09.byaki,-,2.21,353.10,1.90
146@byaki_09.byaki,-,2.46,344.80,2.40
146@byaki_09.byaki,-,2.59,339.60,2.10
146@byaki_09.byaki,-,2.86,334.70,1.30
146@byaki_09.byaki,-,2.86,325.80,1.90
146@byaki_09.byaki,-,2.95,316.80,2.30
146@byaki_09.byaki,-,3.25,309.30,1.20
146@byaki_09.byaki,-,3.72,300.30,0.30
146@byaki_09.byaki,-,4.12,293.80,0.40
146@byaki_09.byaki,-,4.65,290.70,-0.40
146@byaki_09.byaki,-,4.39,288.10,-0.70
146@byaki_09.byaki,-,4.72,282.70,-2.70
146@byaki_09.byaki,-,3.41,278.10,-2.10
146@byaki_09.byaki,-,3.25,272.90,-1.10
146@byaki_09.byaki,-,3.09,267.40,-1.80
146@byaki_09.byaki,-,3.20,261.80,-2.40
146@byaki_09.byaki,-,3.90,254.30,-3.60
146@byaki_09.byaki,-,3.28,248.30,-3.60
146@byaki_09.byaki,-,2.98,242.80,-3.20
146@byaki_09.byaki,-,3.11,234.90,-2.50
146@byaki_09.byaki,147@byaki_09.byaki,2.89,319.70,-3.50
147@byaki_09.byaki,-,0.79,265.50,1.00
147@byaki_09.byaki,-,1.37,259.70,2.20
147@byaki_09.byaki,-,2.35,254.70,1.40
147@byaki_09.byaki,-,3.01,249.40,5.00
147@byaki_09.byaki,-,3.12,245.70,3.90
147@byaki_09.byaki,-,2.84,242.60,3.40
147@byaki_09.byaki,-,2.64,240.20,2.80
147@byaki_09.byaki,-,3.08,244.80,2.00
147@byaki_09.byaki,-,2.21,235.70,3.20
147@byaki_09.byaki,-,2.18,226.90,3.50
147@byaki_09.byaki,-,2.45,217.60,1.80
147@byaki_09.byaki,-,2.68,209.30,1.50
147@byaki_09.byaki,-,3.64,200.90,0.40
147@byaki_09.byaki,-,3.95,190.40,0.30
147@byaki_09.byaki,-,7.88,180.80,0.40
147@byaki_09.byaki,-,7.91,177.70,-0.10
147@byaki_09.byaki,-,7.89,180.90,0.50
147@byaki_09.byaki,-,8.23,175.00,0.30
147@byaki_09.byaki,-,8.20,175.20,-2.20
147@byaki_09.byaki,-,7.91,178.20,-0.90
147@byaki_09.byaki,-,6.92,161.80,-0.10
147@byaki_09.byaki,-,5.81,157.60,0.80
147@byaki_09.byaki,-,4.44,153.40,1.50
147@byaki_09.byaki,-,3.63,149.40,2.20
147@byaki_09.byaki,-,3.32,145.70,3.90
147@byaki_09.byaki,-,2.88,139.50,4.30
147@byaki_09.byaki,-,2.97,129.00,4.30
147@byaki_09.byaki,-,2.63,119.80,5.20
147@byaki_09.byaki,-,2.38,111.80,5.20
147@byaki_09.byaki,-,2.31,102.30,3.70
147@byaki_09.byaki,-,2.28,104.40,4.80
147@byaki_09.byaki,-,1.91,89.30,4.90
147@byaki_09.byaki,-,1.56,81.70,11.30
147@byaki_09.byaki,-,1.28,74.00,14.90
147@byaki_09.byaki,-,0.99,63.30,16.70
147@byaki_09.byaki,148@byaki_09.byaki,7.05,163.90,0.90
148@byaki_09.byaki,-,7.18,340.40,0.60
148@byaki_09.byaki,-,7.08,348.30,-0.50
148@byaki_09.byaki,-,7.32,345.00,1.00
148@byaki_09.byaki,-,7.11,339.10,0.60
148@byaki_09.byaki,-,7.27,330.70,0.30
148@byaki_09.byaki,-,7.35,326.70,-0.20
148@byaki_09.byaki,-,7.67,316.60,-0.20
148@byaki_09.byaki,-,4.75,305.50,0.90
148@byaki_09.byaki,-,3.58,304.10,-1.50
148@byaki_09.byaki,-,3.50,301.30,-2.50
148@byaki_09.byaki,-,3.53,299.70,-1.40
148@byaki_09.byaki,-,3.60,306.20,-0.80
148@byaki_09.byaki,-,4.18,264.30,2.20
148@byaki_09.byaki,-,3.76,258.90,3.30
148@byaki_09.byaki,-,3.62,254.50,3.50
148@byaki_09.byaki,-,3.32,245.00,3.20
148@byaki_09.byaki,-,2.62,240.20,4.70
148@byaki_09.byaki,-,1.97,232.60,5.20
148@byaki_09.byaki,-,1.99,237.50,5.90
148@byaki_09.byaki,-,1.82,225.40,6.50
148@byaki_09.byaki,-,1.77,215.10,6.20
148@byaki_09.byaki,-,1.81,211.30,5.50
148@byaki_09.byaki,-,2.14,206.00,5.20
148@byaki_09.byaki,-,2.62,197.20,3.50
148@byaki_09.byaki,-,3.35,187.70,1.80
148@byaki_09.byaki,-,3.29,183.10,0.50
148@byaki_09.byaki,-,3.98,177.50,1.10
148@byaki_09.byaki,-,4.26,171.80,0.20
148@byaki_09.byaki,-,4.28,167.90,0.60
148@byaki_09.byaki,-,3.28,158.30,2.30
148@byaki_09.byaki,-,1.59,138.40,18.60
148@byaki_09.byaki,-,1.52,142.50,18.30
148@byaki_09.byaki,-,1.53,148.30,18.10
148@byaki_09.byaki,-,1.57,152.10,17.40
148@byaki_09.byaki,-,1.67,159.20,15.30
148@byaki_09.byaki,-,1.74,165.90,13.50
148@byaki_09.byaki,-,1.81,171.70,12.60
148@byaki_09.byaki,-,2.04,179.30,10.80
148@byaki_09.byaki,-,2.29,184.20,10.10
148@byaki_09.byaki,530@byaki_09.byaki,2.20,202.90,4.60
